Property Name,Data Type,Description,Services,Service Count
sendHostEmailsToDelegate,BOOLEAN,Sends all host-triggered emails to the delegate as well.,VMS,1
sendHostMsTeamsNotificationToDelegate,BOOLEAN,Controls whether MS Teams notifications are sent to delegate.,VMS,1
sendInviteEmail,JSON,"Defines default state of visitor, host, and creator email checkboxes.",VMS,1
sendRoomBookingEmailToAllParticipants,BOOLEAN,Controls whether booking emails are sent to all participants.,Meeting Rooms,1
sendVisitorInviteEmail,BOOLEAN,DTO key for sending visitor invite emails.,VMS,1
setFavoriteRooms,BOOLEAN,Allows user to set any meeting room as their favourite for easy access.,Booking Rule Engine,1
SETTINGS_ENABLED,BOOLEAN,Enables the Settings option in the sidenav with Configurations and Roles & User Groups pages.,PMS,1
shareRideCallDriver,BOOLEAN,-,"Emp Exp Common Config, Emp Exp Internal Config",2
shouldAllowCustomTimingWhileEdit,BOOLEAN,STRICTLY TO BE UPDATED ONLY FROM CONFIG PAGE IN THE UI. Defines if employee will be allowed to select custom timing while editing a booking.,Booking Rule Engine,1
Show_Room_If_Not_Eligible,BOOLEAN,Controls visibility of ineligible rooms.,Meeting Rooms,1
SHOW_UPCOMING_BOOKINGS_TIME,INTEGER,Meeting Rooms Kiosk - Defines how prior to the meeting start time the kiosk screen will turn yellow to let users checkin to their booking. Value set in minutes,Meeting Rooms,1
showBelongings,BOOLEAN,Not in use.,VMS,1
showBookingFilter,BOOLEAN,Enables toggle to show/hide cancelled bookings.,Emp Exp Common Config,1
showBookingHistory,BOOLEAN,Enables booking history on app.,Emp Exp Common Config,1
showBookingsOfSomeoneElseOnWeb,BOOLEAN,-,Emp Exp Common Config,1
showCabs,BOOLEAN,-,Booking Rule Engine,1
showCanceledCountinAttendanceChart,BOOLEAN,Controls visibility of cancelled count in attendance charts.,Emp Exp Common Config,1
showConfigureDeskAmenities,BOOLEAN,Controls visibility of desk amenities configuration button.,Emp Exp Common Config,1
showConfirmationForLogoutTracking,BOOLEAN,-,Emp Exp Common Config,1
showDefaultInviteTitle,BOOLEAN,Enables default invite title on Invite Visitor page.,VMS,1
showDelegateeBookForSomeoneElse,LIST,Displays delegatees in host search for booking on behalf.,VMS,1
showDigipassOptionForDedicatedSeat,BOOLEAN,-,Booking Rule Engine,1
showEmployeeCreation,BOOLEAN,-,Emp Exp Common Config,1
showEmployeeSearchOnSeatBooking,BOOLEAN,Enables colleague search by name.,Emp Exp Common Config,1
showFabQRScanner,BOOLEAN,Controls QR scanner visibility on FAB.,Emp Exp Common Config,1
showFirstCheckInRecord,BOOLEAN,-,Booking Rule Engine,1
showLanguageOptionInHamburgerMenu,BOOLEAN,-,Emp Exp Internal Config,1
showMealCost,BOOLEAN,Shows meal cost on items for standard meal booking.,Emp Exp Common Config,1
showMealCountOnBookingForm,BOOLEAN,Displays real-time meal availability count on booking form.,Emp Exp Common Config,1
showMealOrderStatus,BOOLEAN,-,Booking Rule Engine,1
showMealPaymentCTA,BOOLEAN,Enables meal payment CTA integrated with payment gateways.,Emp Exp Common Config,1
showMealTimings,BOOLEAN,Shows meal time on items for standard meal booking.,Emp Exp Common Config,1
showMeetingRoomOnApp,BOOLEAN,Enables Meeting Room booking option on mobile app.,Emp Exp Common Config,1
showOfficeInfoOnBookingForm,BOOLEAN,Displays searchable office address list during booking.,Emp Exp Common Config,1
showOrderOfChallengesAfterQRScan,BOOLEAN,Displays declaration after QR scan.,Emp Exp Common Config,1
showOrganiserNameAddInTimeline,BOOLEAN,Show organizer name on booking timeline on outlook addin,Meeting Rooms,1
showOtherEmployeeDetailsOnSeat,BOOLEAN,Controls visibility of other employee booking details on seat view.,Emp Exp Common Config,1
showOtpWithoutDigipassGeneration,BOOLEAN,Displays cab login/logout OTPs directly on the booking card.,Emp Exp Common Config,1
showParking,BOOLEAN,Controls parking field visibility in Teams chatbot.,"Booking Rule Engine, Emp Exp Common Config",2
showQRScanner,BOOLEAN,Enables Scan QR option in the app.,"Booking Rule Engine, Emp Exp Common Config",2
showQRScannerMeetingCheckIn,BOOLEAN,Enables QR-based meeting room check-in.,Emp Exp Common Config,1
showRegistrationNumberInputFieldForParking,BOOLEAN,Enables field for entering registration number while selecting parking slots in booking form.,"Emp Exp Common Config, Emp Exp Internal Config",2
showSanitizationDetails,BOOLEAN,Displays sanitization details in the app.,"Booking Rule Engine, Emp Exp Common Config",2
showSeatSearchOnAdminPages,BOOLEAN,Enables desk search on admin floor plan pages.,Emp Exp Common Config,1
showSeatSearchOnSeatBooking,BOOLEAN,Enables desk search by desk number.,Emp Exp Common Config,1
showSeparateDigipassFor,LIST,Controls resource-level DigiPass generation.,Emp Exp Common Config,1
showSeparateDigipassForParking,BOOLEAN,Displays separate digipass for parking resources in the mobile app.,Emp Exp Common Config,1
showSignedinStateOnEmployeeFloorPlan,BOOLEAN,Displays signed-in desk state (green indicator) on Employee Floor Plan.,Emp Exp Common Config,1
showTeamCalendarOption,BOOLEAN,Displays Team Calendar option in the app.,Emp Exp Common Config,1
showTeamOnKioskForEmployee,BOOLEAN,Displays team name instead of employee ID in kiosk organizer dropdown.,Emp Exp Common Config,1
showVaccinationOptionInSideMenu,BOOLEAN,Enables Vaccination status option in the app side menu.,"Booking Rule Engine, Emp Exp Common Config",2
showWisLogo,BOOLEAN,Toggles display of the MoveInSync logo on meeting room kiosk and calendar integration UIs,Meeting Rooms,1
showWomenSafetyInSideMenu,BOOLEAN,Displays Women Safety Handbook in mobile side menu.,Emp Exp Common Config,1
showWorkinsyncLogoOnSideNav,BOOLEAN,Controls WorkInSync logo visibility on sidenav.,Emp Exp Common Config,1
SHUTTLE_TRACKING_PROPERTIES,JSON,-,"App Server Config, App Server Config (.in)",2
shuttleBookingConfirmationNotificationEnabled,BOOLEAN,-,Emp Exp Common Config,1
shuttleSigninRemainderBufferMins,DOUBLE,-,Emp Exp Common Config,1
shuttleSigninRemainderNotificationEnabled,BOOLEAN,-,Emp Exp Common Config,1
singleShiftOperations,BOOLEAN,"Removes shift selection on booking form, sets booking time 00:00 to 23:59. Hides time components in Team Calendar (day/week view) and Preferences for single-shift environments.","Emp Exp Common Config, Emp Exp Internal Config",2
siteadmin,LIST,Configures Site Admin role access.,PMS,1
skipOptInTimeWindowValidation,BOOLEAN,-,Emp Exp Common Config,1
smartRoomRecommendation,BOOLEAN,Enables AI-based smart room recommendation.,Meeting Rooms,1
smsTrackingEnabled,BOOLEAN,-,Emp Exp Common Config,1
smsTriggerTime,STRING,Defines the configured time at which SMS notifications are triggered.,Guard App,1
SOS,JSON,-,"App Server Config, App Server Config (.in)",2
SPECIAL_SCHEDULE_MESSAGE_TEMPLATE,STRING,-,Email Emp Experience,1
SPECIAL_SCHEDULE_TITLE_TEMPLATE,STRING,-,Email Emp Experience,1
spocCancelCutOff,INTEGER,-,Booking Rule Engine,1
spocScheduleCutOff,INTEGER,-,Booking Rule Engine,1
SPOT,JSON,-,"App Server Config, App Server Config (.in)",2
ssoExpiryEmailBodyTemplate,STRING,-,Email Emp Experience,1
ssoExpiryEmailHeaderTemplate,STRING,-,Email Emp Experience,1
ssoExpiryFollowUpEmailBodyTemplate,STRING,-,Email Emp Experience,1
ssoExpiryFollowUpEmailHeaderTemplate,STRING,-,Email Emp Experience,1
ssoExpiryInternalEmailRecipients,LIST,-,Emp Exp Internal Config,1
ssoMandatory,BOOLEAN,Removes OTP login option and enforces SSO-only login on mobile.,Emp Exp Common Config,1
standardTeamColor,STRING,Defines default team legend color in floor plan.,Emp Exp Common Config,1
startTimeBufferRoomBookingBuidLevel,BOOLEAN,Defines start time buffer for meeting room bookings at BUID level for the Buffer Time workflow in catering/IT request.,Meeting Rooms,1
startTimeBufferRoomBookingRoomLevel,INTEGER,Defines start time buffer at individual room level.,Meeting Rooms,1
stopNoShowEmailForShuttle,BOOLEAN,-,Emp Exp Common Config,1
SUPPORT USER EDIT,LIST,Configures Support-SSO (mistm) role access.,PMS,1
SUPPORT USER VIEW,LIST,Configures Support-SSO (mistm) role access.,PMS,1
SUPPORT_USER_ADMINS_LIST,LIST,List of admins who will receive the approval request mail.,Email Emp Experience,1
SyncMeetingRooms,BOOLEAN,Enables the Sync Rooms button for integrated setups in the Meeting Room Settings page,Meeting Rooms,1
tagsEnabled,LIST,"Defines the list of enabled booking tags (e.g. WFO, WFH).","Booking Rule Engine, Emp Exp Common Config, WIS Seat Booking",3
TEAM MANAGER,LIST,Configures Team Manager role access.,PMS,1
team_manager,LIST,Configures Team Manager role access.,PMS,1
TEAM_MANAGER_COLUMNS,STRING,Configures columns on the People > Employees page.,PMS,1
teamCalendarEnabled,BOOLEAN,Enables Team Calendar feature.,"Booking Rule Engine, Emp Exp Common Config",2
teamManager,STRING,Defines Team Manager service URL.,Emp Exp Common Config,1
tempEntryTimeLimit,INTEGER,Defines buffer time for entry after temporary checkout in the 2-step check-in/checkout process.,VMS,1
TEST,BOOLEAN,-,WIS Seat Booking,1
TestPropertyOnPMS,BOOLEAN,-,Booking Rule Engine,1
TestPropertySeatBooking,BOOLEAN,Defines whether the PMS is working on the wisseatbooking service,WIS Seat Booking,1
textMessageForKiosk,JSON,Defines text displayed on the kiosk.,Meeting Rooms,1
textOnKiosk,BOOLEAN,Controls additional text visibility on the Meeting Rooms Kiosk screen,Meeting Rooms,1
TIME_FORMAT,STRING,Defines time format for UI.,Emp Exp Common Config,1
TIME_FORMAT_SERVICES,STRING,Defines time format for backend services.,Emp Exp Common Config,1
timeDiffShiftsMin,DOUBLE,-,Booking Rule Engine,1
timezone,STRING,Defines the timezone of that office,Meeting Rooms,1
trackAnyShuttleEnabled,BOOLEAN,-,Emp Exp Common Config,1
transferBookingEnabled,BOOLEAN,Adds a 'Transfer Booking Details' column in seat and meeting room reports.,Emp Exp Common Config,1
transferBookingTypes,LIST,-,Emp Exp Common Config,1
transport-dashboard,BOOLEAN,"Defines the landing dashboard page used for transport operations (legacy or modern) for a given site/BUID. This key is typically configured to point the landing/transport dashboard to the correct ETS dashboard URL, and works together with the ENABLE_NEW_TRANSPORT_DASHBOARD flag.",PMS,1
TRANSPORT_BOUNDARY_VALIDATION_FAILED_MESSAGE,STRING,-,Email Emp Experience,1
transportFieldsMandatory,BOOLEAN,Controls whether transport fields are mandatory.,Emp Exp Common Config,1
TransportManager,LIST,Configures Transport Manager role access.,PMS,1
transportmanager-nobilling,LIST,Configures Transport Manager (No Billing) role access.,PMS,1
transportmgr,LIST,Configures Transport Manager role access.,PMS,1
triggerExternalEmails,LIST,Triggers emails to designated roles such as Global Admin.,VMS,1
triggerListForLandlords,JSON,Defines external stakeholder email trigger list.,VMS,1
triggerSafeReachForFemaleOnly,BOOLEAN,Triggers Safe Reach for female visitors only.,VMS,1
triggerVisitorEmailsFromRooms,BOOLEAN,Controls visitor email triggers in Meeting Rooms workflow.,VMS,1
TRIP_CARD_FLOW,JSON,This property defines the card flow displayed to the user on click of info button on the card,"App Server Config, App Server Config (.in)",2
TRIP_DETAILS,JSON,-,"App Server Config, App Server Config (.in)",2
TRIP_FEEDBACK_MODEL,JSON,-,"App Server Config, App Server Config (.in)",2
TRIP_HISTORY,JSON,-,"App Server Config, App Server Config (.in)",2
TRIP_MISMATCH_COMPONENT,LIST,-,App Server Config,1
tripFeedbackExpressionsMap,LIST,-,Emp Exp Common Config,1
tripRatingMandatory,BOOLEAN,Controls whether trip rating is mandatory.,Emp Exp Common Config,1
tripRatingMandatoryThreshold,JSON,-,Emp Exp Common Config,1
UPCOMING_VISITOR,BOOLEAN,Enables Visitor Management.,PMS,1
upcomingMeetingsEmployeeHome,BOOLEAN,Controls display of upcoming meetings on Employee Home.,Emp Exp Common Config,1
USER_CLOCK_OUT_REMAINDER_MINUTES,INTEGER,-,Emp Exp Common Config,1
USERCLOCKOUTREMAINDERMINUTES,INTEGER,-,Emp Exp Common Config,1
userResourceGroupMappingEnabled,BOOLEAN,Indicates whether resource group mapping is enabled for office visibility.,Emp Exp Common Config,1
VACCINATION_REVIEW,BOOLEAN,-,PMS,1
VACCINATION_STATUS,BOOLEAN,Enables the Vaccination page in the sidenav.,PMS,1
vaccinationBookingEnabled,BOOLEAN,Enables vaccination slot booking feature in the app.,Emp Exp Common Config,1
vaccinationBookingUrl,STRING,URL for the vaccination booking feature in the app.,Emp Exp Common Config,1
vaccinationMaxApprovalDays,INTEGER,Defines maximum days allowed for vaccination request approval.,"Booking Rule Engine, Emp Exp Common Config",2
VAX_STATUS_CHECK_SEEK_RTPCR_EMP,BOOLEAN,Allows or restricts RTPCR upload for non-fully vaccinated employees.,Emp Exp Common Config,1
vaxEmailEnabled,BOOLEAN,-,Emp Exp Common Config,1
VEHICLE_TRACKING,JSON,-,"App Server Config, App Server Config (.in)",2
vehicleCreationDuringParkingEnabled,BOOLEAN,Controls vehicle creation during parking booking.,Emp Exp Common Config,1
vehicleCreationDuringParkingFor,LIST,Controls vehicle creation by type (CAR etc.).,Emp Exp Common Config,1
vehicleFuelTypes,LIST,-,Emp Exp Common Config,1
VENDOR_DASHBOARD,BOOLEAN,Enables the Vendor Dashboard entry (for cafeteria/meals) in their UI.,PMS,1
vendorColumnMappings,JSON,To customize the column header labels in the Meal Dashboard.,Booking Rule Engine,1
vendorKioskConfigs,JSON,Contains all the configs related for Vendor Kiosk,VMS,1
vendorMealDisplayColumn,LIST,Tells which columns need to be shown on vendor-dashboard (only related to meal columns).,Booking Rule Engine,1
vendorMealStatus,LIST,Types of meal statuses defined per office.,Booking Rule Engine,1
VERSION_STATS,JSON,-,"App Server Config, App Server Config (.in)",2
visitDurationHours,INTEGER,Defines dropdown options for visit duration.,VMS,1
VISITOR_DIGIPASS,BOOLEAN,Not in use.,VMS,1
Visitor_Document_Storage,BOOLEAN,Enables visitor document storage configuration.,VMS,1
Visitor_Document_Storage_Document_Type,LIST,Defines document types applicable for visitor data storage.,VMS,1
Visitor_Document_Storage_Duration,INTEGER,Defines retention period (in days) for visitor data storage.,VMS,1
VISITOR_PROFILE_ID,BOOLEAN,Controls whether visitor identity proof upload is required.,VMS,1
Visitor_Profile_ID_Document_Upload_Field_Inputs,LIST,Defines allowed document types for visitor upload.,VMS,1
visitor_wifi_name,STRING,Stores client Wi-Fi name.,VMS,1
visitorApprovalMsTeamsNotification,BOOLEAN,Controls visitor approval notification on MS Teams.,VMS,1
visitorBulkUploadData,JSON,Defines headers and data rules for visitor bulk upload; must comply with profileFieldsMetaData.,VMS,1
visitorBulkUploadFields,JSON,Defines headers and default values for visitor bulk upload.,VMS,1
visitorCheckinMsTeamsBodyTemplate,STRING,Defines body template for MS Teams visitor check-in notification.,VMS,1
visitorCheckinMsTeamsHeaderTemplate,STRING,Defines salutation header for MS Teams visitor check-in notification.,VMS,1
visitorCheckinMsTeamsTemplate,JSON,Defines visitor check-in email template.,VMS,1
visitorCheckoutMsTeamsTemplate,JSON,Defines MS Teams template for visitor check-out notification.,VMS,1
visitorFormsMetaData,LIST,Not in use.,VMS,1
visitorFormsMetaDataPWC,LIST,Handles profile and custom fields in VMS self check-in flow (PWC).,VMS,1
visitorKioskConfigs,JSON,Handles UI formatting for VMS self check-in flow.,VMS,1
visitorNotifications,JSON,Controls visitor notifications.,VMS,1
visitorProfileFields,JSON,Controls visitor profile fields for Walk-in flow.,VMS,1
visitorProfilePhotoUpload,BOOLEAN,Controls whether profile photo is mandatory in invited flow.,VMS,1
visitorSelfCheckOutDigiPass,BOOLEAN,Not in use.,VMS,1
visitorWidgetEnabled,BOOLEAN,Displays visitor management widget on Employee Home.,"Emp Exp Common Config, VMS",2
vmsInviteTrigger,LIST,Triggers visitor invite based on configured list.,VMS,1
vmsQrCodeTrigger,LIST,Controls sending DigiPass and checkout QR via SMS or email.,VMS,1
waitListBookingBufferTimeInMin,INTEGER,Defines buffer time in minutes for waitlist bookings.,Emp Exp Common Config,1
waitlistExpiryEnabled,BOOLEAN,Expire waitlist bookings once the start time has passed and no confirmed slot has been assigned to the parking booking.,Booking Rule Engine,1
walkInEnabled,BOOLEAN,Not in use.,VMS,1
wayfindingPathColor,JSON,Controls arrow color customization in wayfinding path.,Emp Exp Common Config,1
weekdays,LIST,Defines the set of days considered working days for that office's rooms,Meeting Rooms,1
WEIGHT_CAPACITY,DOUBLE,Defines weight configuration for AI room recommendation based on capacity.,Meeting Rooms,1
WEIGHT_HISTORICAL,DOUBLE,Defines weight configuration for AI room recommendation based on historical usage.,Meeting Rooms,1
welcomeEmailEnabled,BOOLEAN,Controls sending of welcome emails.,Emp Exp Common Config,1
wfhBookingAllowed,BOOLEAN,Controls WFH booking visibility in WorkInSync Teams chatbot.,"Booking Rule Engine, Emp Exp Common Config",2
wfhCancelCutOff,INTEGER,-,Booking Rule Engine,1
wfhClockinBuffer,DOUBLE,-,Booking Rule Engine,1
wfhClockInBuffer,INTEGER,-,Booking Rule Engine,1
wfhClockinCutOffInMinute,INTEGER,Controls the cutoff time in minutes for allowing WFH clock-in.,"Emp Exp Common Config, Emp Exp Internal Config",2
wfhDisabled,BOOLEAN,Controls whether WFH booking is enabled or disabled.,"Booking Rule Engine, Emp Exp Common Config",2
wfhEditCutOff,INTEGER,-,Booking Rule Engine,1
wfhMaxDurationForBooking,DOUBLE,-,Booking Rule Engine,1
wfhMaxShiftDurationInMinute,INTEGER,-,Booking Rule Engine,1
wfhMinBetweenClockinClockout,DOUBLE,-,Booking Rule Engine,1
wfhMinBetweenClockInClockOut,DOUBLE,Defines minimum duration between WFH clock-in and clock-out.,Emp Exp Common Config,1
wfhMinDurationForBooking,DOUBLE,-,Booking Rule Engine,1
wfhMinShiftDurationInMinute,INTEGER,-,Booking Rule Engine,1
wfhMonthlyLimit,INTEGER,Defines the maximum number of Work From Home bookings allowed per month.,"Booking Rule Engine, WIS Seat Booking",2
wfhReasonList,STRING,Work From Home/Remote booking reasons.,Emp Exp Common Config,1
wfhScheduleCutOff,INTEGER,-,Booking Rule Engine,1
wfhSpocEditCutOff,INTEGER,-,Booking Rule Engine,1
wfhSpocSchecduleCutOff,INTEGER,-,Booking Rule Engine,1
wfhType,STRING,Controls the default type of Work From Home booking.,"Emp Exp Common Config, Emp Exp Internal Config",2
wfhWeeklyLimit,INTEGER,Defines the maximum number of Work From Home bookings allowed per week.,"Booking Rule Engine, WIS Seat Booking",2
wfoMonthlyLimit,INTEGER,Defines the maximum number of Work From Office bookings allowed per month.,WIS Seat Booking,1
wfoReasonList,STRING,-,Booking Rule Engine,1
wfoWeeklyLimit,INTEGER,Defines the maximum number of Work From Office bookings allowed per week.,WIS Seat Booking,1
wisDropVerificationFailedEmail,BOOLEAN,Controls whether email is triggered when drop verification fails.,Emp Exp Internal Config,1
wisDropVerificationManualSuccessEmail,BOOLEAN,Controls whether email is triggered when drop verification is manually marked successful.,Emp Exp Internal Config,1
wisFailDropEmailSubject,STRING,Controls the email subject template used when Safe Reach drop verification fails.,Emp Exp Internal Config,1
wisManualSuccessEmailSubject,STRING,Controls the email subject template used when Safe Reach confirmation is manually completed.,Emp Exp Internal Config,1
wisSafeReachCcList,LIST,Controls the list of email IDs to be CC'd in Safe Reach communications.,Emp Exp Internal Config,1
wisSafeReachReportingManagerEnabled,BOOLEAN,Controls whether Safe Reach notifications are sent to the reporting manager.,Emp Exp Internal Config,1
WisThemeColors,JSON,Defines theme colors for WorkInSync modules.,Emp Exp Common Config,1
womenSafetyDocUrl,STRING,Controls URL of Women Safety Handbook document.,Emp Exp Common Config,1
WORK_PLANNER_ENABLED,BOOLEAN,Enables the Work Planner option in the sidenav.,PMS,1
workplannerCheckInAdvanceCutOffInMinute,INTEGER,Defines early check-in limit for Workplanner bookings.,Emp Exp Common Config,1
workplannerCheckInDelayCutOffInMinute,INTEGER,Defines late check-in limit for Workplanner bookings.,Emp Exp Common Config,1
workplannerNotificationControl,JSON,Controls the email flow of the workplanner.,Booking Rule Engine,1
workplannerRecurrenceMaxDays,INTEGER,Defines maximum recurrence window in Workplanner.,Emp Exp Common Config,1
Workspace Manager,LIST,Configures Workspace Manager role access.,PMS,1
WORKSPACE_MANAGER,LIST,Configures Workspace Manager role access.,PMS,1
xlEtsBuids,LIST,-,Emp Exp Internal Config,1
